[ITER 9400] points=42336 sel=7 (0.0002) valid=22681 (0.5357) clone=7 split=0 thr=0.000058 topk=125 p90=0.000049 p95=0.000052 p99=0.000055 mem_alloc=0.15G mem_reserved=0.37G
[ITER 9600] points=42553 sel=119 (0.0028) valid=18321 (0.4305) clone=62 split=57 thr=0.000056 topk=275 p90=0.000042 p95=0.000050 p99=0.000055 mem_alloc=0.14G mem_reserved=0.44G
[ITER 9800] points=42722 sel=180 (0.0042) valid=12730 (0.2980) clone=75 split=105 thr=0.000052 topk=224 p90=0.000039 p95=0.000044 p99=0.000054 mem_alloc=0.14G mem_reserved=0.40G
[ITER 10000] points=42901 sel=335 (0.0078) valid=9329 (0.2175) clone=174 split=161 thr=0.000050 topk=303 p90=0.000035 p95=0.000043 p99=0.000054 mem_alloc=0.13G mem_reserved=0.35G
[ITER 10200] points=43007 sel=15 (0.0003) valid=12147 (0.2824) clone=9 split=6 thr=0.000056 topk=240 p90=0.000049 p95=0.000051 p99=0.000054 mem_alloc=0.13G mem_reserved=0.33G
[ITER 10400] points=43048 sel=4674 (0.1086) valid=22535 (0.5235) clone=2340 split=2334 thr=0.000047 topk=131 p90=0.000050 p95=0.000052 p99=0.000054 mem_alloc=0.15G mem_reserved=0.36G
[ITER 10600] points=43365 sel=38 (0.0009) valid=29740 (0.6858) clone=27 split=11 thr=0.000055 topk=289 p90=0.000044 p95=0.000047 p99=0.000052 mem_alloc=0.16G mem_reserved=0.33G
[ITER 10800] points=43634 sel=9 (0.0002) valid=25836 (0.5921) clone=6 split=3 thr=0.000056 topk=176 p90=0.000046 p95=0.000048 p99=0.000051 mem_alloc=0.16G mem_reserved=0.42G
[ITER 11000] points=43878 sel=0 (0.0000) valid=10792 (0.2460) clone=0 split=0 thr=0.000057 topk=185 p90=0.000033 p95=0.000037 p99=0.000045 mem_alloc=0.13G mem_reserved=0.40G
[ITER 11200] points=43993 sel=140 (0.0032) valid=20775 (0.4722) clone=55 split=85 thr=0.000055 topk=237 p90=0.000045 p95=0.000049 p99=0.000054 mem_alloc=0.15G mem_reserved=0.47G
[ITER 11400] points=44155 sel=0 (0.0000) valid=5710 (0.1293) clone=0 split=0 thr=0.000056 topk=148 p90=0.000031 p95=0.000035 p99=0.000044 mem_alloc=0.12G mem_reserved=0.42G
[ITER 11600] points=44256 sel=0 (0.0000) valid=5191 (0.1173) clone=0 split=0 thr=0.000055 topk=232 p90=0.000038 p95=0.000042 p99=0.000048 mem_alloc=0.12G mem_reserved=0.46G
[ITER 11800] points=44356 sel=254 (0.0057) valid=27311 (0.6157) clone=149 split=105 thr=0.000053 topk=229 p90=0.000046 p95=0.000048 p99=0.000052 mem_alloc=0.15G mem_reserved=0.41G
[ITER 12000] points=44672 sel=790 (0.0177) valid=29081 (0.6510) clone=564 split=226 thr=0.000051 topk=268 p90=0.000045 p95=0.000048 p99=0.000056 mem_alloc=0.16G mem_reserved=0.36G
[ITER 12200] points=44133 sel=27 (0.0006) valid=26039 (0.5900) clone=20 split=7 thr=0.000055 topk=264 p90=0.000045 p95=0.000047 p99=0.000051 mem_alloc=0.16G mem_reserved=0.32G
[ITER 12400] points=44314 sel=651 (0.0147) valid=19019 (0.4292) clone=365 split=286 thr=0.000055 topk=140 p90=0.000049 p95=0.000053 p99=0.000057 mem_alloc=0.14G mem_reserved=0.52G
[ITER 12600] points=44540 sel=0 (0.0000) valid=12754 (0.2863) clone=0 split=0 thr=0.000056 topk=239 p90=0.000029 p95=0.000035 p99=0.000046 mem_alloc=0.14G mem_reserved=0.41G
[ITER 12800] points=44504 sel=3928 (0.0883) valid=19103 (0.4292) clone=2040 split=1888 thr=0.000044 topk=32 p90=0.000049 p95=0.000054 p99=0.000057 mem_alloc=0.14G mem_reserved=0.38G
[ITER 13000] points=44683 sel=19 (0.0004) valid=28170 (0.6304) clone=7 split=12 thr=0.000055 topk=181 p90=0.000043 p95=0.000046 p99=0.000050 mem_alloc=0.17G mem_reserved=0.37G
[ITER 13200] points=44868 sel=530 (0.0118) valid=15116 (0.3369) clone=216 split=314 thr=0.000051 topk=91 p90=0.000046 p95=0.000050 p99=0.000054 mem_alloc=0.14G mem_reserved=0.41G
[ITER 13400] points=45068 sel=2 (0.0000) valid=9219 (0.2046) clone=0 split=2 thr=0.000055 topk=240 p90=0.000033 p95=0.000039 p99=0.000050 mem_alloc=0.13G mem_reserved=0.45G
[ITER 13600] points=45137 sel=600 (0.0133) valid=29246 (0.6479) clone=439 split=161 thr=0.000052 topk=232 p90=0.000045 p95=0.000048 p99=0.000055 mem_alloc=0.17G mem_reserved=0.42G
[ITER 13800] points=45443 sel=1230 (0.0271) valid=17403 (0.3830) clone=670 split=560 thr=0.000051 topk=244 p90=0.000049 p95=0.000052 p99=0.000057 mem_alloc=0.14G mem_reserved=0.37G
[ITER 14000] points=45426 sel=375 (0.0083) valid=10220 (0.2250) clone=263 split=112 thr=0.000038 topk=20 p90=0.000032 p95=0.000036 p99=0.000044 mem_alloc=0.14G mem_reserved=0.56G
[ITER 14200] points=45472 sel=0 (0.0000) valid=2078 (0.0457) clone=0 split=0 thr=0.000055 topk=144 p90=0.000025 p95=0.000029 p99=0.000036 mem_alloc=0.12G mem_reserved=0.62G
[ITER 14400] points=45411 sel=67 (0.0015) valid=22292 (0.4909) clone=53 split=14 thr=0.000058 topk=126 p90=0.000047 p95=0.000051 p99=0.000056 mem_alloc=0.16G mem_reserved=0.42G
[ITER 14600] points=45596 sel=619 (0.0136) valid=27451 (0.6020) clone=449 split=170 thr=0.000053 topk=179 p90=0.000047 p95=0.000050 p99=0.000054 mem_alloc=0.16G mem_reserved=0.46G
[ITER 14800] points=45782 sel=46 (0.0010) valid=11874 (0.2594) clone=36 split=10 thr=0.000058 topk=147 p90=0.000050 p95=0.000052 p99=0.000056 mem_alloc=0.13G mem_reserved=0.42G
